season,episode,round,competitor_id,competitor,Gender,Choice Binary,eliminated,dish,starting_funds,winner_binary,ending_funds,pantry_forced_error,pantry_unforced_error,auctions_won,auction_item1_type,auction_item1_description,auction_item1_winning_bid,auction_item2_type,auction_item2_description,auction_item2_winning_bid,auction_item3_type,auction_item3_description,auction_item3_winning_bid,auction_item4_type,auction_item4_description,auction_item4_winning_bid,auction_money_spent,total_sabotages_received,fines,sabatoge1_type,sabatoge1_description,sabatoge2_type,sabatoge2_description,sabotage3_type,sabotage3_description
2,6,1,1,David Slatkin,M,TRUE,TRUE,quesadilla,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,1,,equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)",,,,
2,6,1,2,Brook Ager,F,TRUE,FALSE,quesadilla,25000,FALSE,25000,FALSE,FALSE,0,,,,,,,,,,,,,0,2,,equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)",ingredients,cheese from tuna melt,,
2,6,1,3,Leah Evilay,F,TRUE,FALSE,quesadilla,25000,FALSE,11800,FALSE,FALSE,2,equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)",6800,ingredients,cheese from tuna melt,6400,,,,,,,13200,1,,distraction,bike made margaritas,,,,
2,6,1,4,Eric Shelton,M,TRUE,FALSE,quesadilla,25000,FALSE,21900,FALSE,FALSE,1,,,,,,,distraction,bike made margaritas,3100,,,,3100,1,,equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)",,,,
2,6,2,2,Brook Ager,F,TRUE,TRUE,chicken noodle soup,25000,FALSE,20000,FALSE,FALSE,1,,,,ingredients,"must use comfort food ingredients (OJ,honey,cough drops)",5000,,,,,,,5000,2,,exclusivity,competitors cannot taste their food,equipment,must cook in a sheet pan,,
2,6,2,3,Leah Evilay,F,TRUE,FALSE,chicken noodle soup,11800,FALSE,9700,FALSE,FALSE,1,,,,,,,equipment,must cook in a sheet pan,2100,,,,2100,1,,exclusivity,competitors cannot taste their food,,,,
2,6,2,4,Eric Shelton,M,FALSE,FALSE,chicken noodle soup,21900,FALSE,11800,FALSE,TRUE,1,exlusivity,competitors cannot taste their food,10100,,,,,,,,,,10100,1,,ingredients,"must use comfort food ingredients (OJ,honey,cough drops)",,,,
2,6,3,3,Leah Evilay,F,FALSE,FALSE,fish fry,9700,TRUE,7700,FALSE,FALSE,1,,,,equipment,replace knives w/ fishing equipment,2000,,,,,,,2000,1,,ingredients,switch fish for anchovies,,,,
2,6,3,4,Eric Shelton,M,FALSE,TRUE,fish fry,11800,FALSE,10700,FALSE,FALSE,1,ingredients,switch fish for anchovies,1100,,,,,,,,,,1100,1,,equipment,replace knives w/ fishing equipment,,,,
2,7,1,5,Mike Brown,M,TRUE,FALSE,fancy french fries,25000,FALSE,22500,FALSE,FALSE,1,ingredients,must use mashed potatoes,2500,,,,,,,,,,2500,2,,exclusivity,comptetiors cannot use salt,distraction,must keep hand on cooking equipment,,
